Tijdstempel,1. Wat zijn taken die jij regelmatig uitvoert voor je werk? Probeer specifiek te zijn en minstens 5 te noemen. (Denk bijvoorbeeld aan tentamencijfers invoeren in ProgressWWW.),2. Met welke systemen werk je zoal?,3. Hoe goed vind je dat je uitleg kan geven in een face-to-face gesprek?,4.1 Hoe goed vind je dat je uitleg kan geven in een gesprek via Google Meet?,4.2 Hoe goed vind je dat je uitleg kan geven via Google Meet wanneer je je scherm moet delen?,5. Hoe goed vind je dat je uitleg kan geven via Google Hangouts?,6. Hoe goed vind je dat je uitleg kan geven via Whatsapp?,7. Hoe goed vind je dat je uitleg kan geven via E-mail?,8. Hoe goed vind je dat je uitleg kan geven via Slack?,9. Werk je liever thuis of op kantoor?,10. Zou je je antwoord op vraag 9 kunnen toelichten?
24-12-2021 13:25:30,"Nominaties verwerken, studenten inschrijven, huisvestingsaanvragen goedkeuren, aanmeldingen studenten verwerken, introductie organiseren","ProgressNET, ProgressWWW, Thunderbird, Mobility Online, Ocasys",8,6,6,0,6,7,7,Op kantoor,"Minder afleiding door thuis-dingen zoals huishouden, kinderen, huisdieren"
24-12-2021 13:27:11,"Bulcijferlijsten maken, examendatum invoeren, nestorcursussen aanmaken, roosteren van onderwijsactiviteiten en boeken van zalen","ProgressNET, ProgressWWW, Ocasys, Syllabus Plus, Bambix",7,7,8,4,3,5,4,Geen voorkeur,Ik vind een combinatie van thuis en op kantoor werken fijn.
24-12-2021 14:21:49,"diploma's maken, excie-besluiten verwerken, stagecontracten registreren, aanpassingen doen aan website, studenten/docenten mailen over van alles ","ProgressNET, ProgressWWW, Thunderbird, Ocasys, Prospero, Nestor, Access, Syllabus",7,7,8,6,6,6,0,Thuis,"Voorkeur voor thuis, maar wel op voorwaarde dat je 1 a 2 dagen op kantoor kunt werken. Thuiswerken geeft meer rust en is efficienter, maar voor (korte) overleggen over praktische zaken is het wel fijn om met enige regelmaat op kantoor te zijn"
24-12-2021 14:32:49,"1. Gegevens studenten controleren in ProgressNET en ProgressWWW.
2. Cijferlijsten maken vanuit ProgressNET.
3. Cijferlijsten invoeren in ProgressNET.
4. E-mailvragen in Thunderbird beantwoorden.
5. Zaalaanvragen verwerken in Syllabus+","ProgressNET, ProgressWWW, Thunderbird, Ocasys, Syllabus+",7,7,7,6,7,9,7,Op kantoor,"Contact met collega's, systemen werken sneller, betere faciliteiten/werkplek, sneller overleg met collega's, meer sfeer en gezelligheid, betere scheiding werk/thuis."
24-12-2021 15:04:42,"Diploma's maken in ProgressNET, de afstudeerprocedure bijhouden in ProgressWWW, mail behandelen in Thunderbird, vakcodes maken in Ocasys, zalen reserveren in Syllabus+","ProgressNET, ProgressWWW, Thunderbird, Ocasys, Syllabus+",8,8,8,7,8,8,0,Geen voorkeur,Op kantoor vind ik het leuk om (sommige ;-)) collega's te spreken maar thuis kan ik ook prima werken en hoef ik als het slecht weer is de deur niet uit
24-12-2021 15:26:17,"Colleroosters maken voor docenten, tentamens roosteren, mail beantwoorden docenten en evt wijzigingen doorvoeren, kijken in Progress hoeveel studenten zich voor de vakken hebben ingeschreven,  voortgang roosterproces bewaken","Thunderbird, Ocasys, Syllabus",9,8,8,0,8,9,0,Thuis,Thuis kan ik veel meer doen zonder afgeleid te worden
24-12-2021 16:11:49,"Tentamencijfers invoeren in ProgressWWW
Cijferlijsten opstellen en tekenen
Algemene vragen van studenten mbt studentenadministratie beantwoorden
Diploma's afgeven
Inkomende reserveringsaanvragen van universiteitszalen beheren","ProgressNET, ProgressWWW, Thunderbird, Ocasys, Syllabus",8,7,7,7,7,8,0,Op kantoor,Makkelijk overleggen met collega's. Belangrijk onderdeel van het werk.
24-12-2021 19:07:38,"Examens definitief maken
Overleggen met medewerkers
Toelatingsbeschikkingen tekenen voor verwerking
Buitenibsteoomformulieren opstellen/verwerken
Geslaagden voorleggen aan collega’s ter verwerking","ProgressNET, ProgressWWW, Thunderbird, Ocasys, Corsa, BI portal, Google",8,7,7,6,5,7,5,Op kantoor,"Kan me thuis slecht concentreren, werk en privé houden lukt thuis slecht, kan collega’s minder goed coördineren en aanvoelen hoe het met ze gaat"
24-12-2021 20:20:04,"Examens definitief maken in ProgressNET, verzuimpercentages invoeren in Shared Services (Afas), omvang contract wijzigen in Shared Services, vakintekening nakijken en corrigeren in ProgressWWW, opleidingen/Tracks/minoren aanmaken in Ocasys en mails beantwoorden via Googleapps.","ProgressNET, ProgressWWW, Ocasys, Shared Services (Afas), Googleapps",8,6,7,7,6,7,7,Geen voorkeur,Combinatie (50% / 50%) is perfect.
26-12-2021 18:35:42,"Mail, telefoon, bijvakkers administreren, beurzenaanvraag administratief  afhandelen,  diploma's aan studenten uitreiken. ","ProgressNET, ProgressWWW, Thunderbird, Ocasys, Syllabus plus",7,7,0,6,0,9,0,Op kantoor,Scheiding werk en privé. Betere apparatuur. 
26-12-2021 20:59:11,"Diploma's maken
premasterpakketten aanhangen in PNET
Premaster studenten inschrijven voor vakken  in ProgressWWW
Mailbox beheren van de IRIO selectie
Belsuiten examencommissie uitvoeren","ProgressNET, ProgressWWW, Thunderbird, Ocasys",7,8,7,7,7,7,0,Op kantoor,Geeft structuur (Nog even over slack in de vorige vraag: gebruik ik niet)
3-1-2022 8:06:15,"Besluiten examencommissie voorbereiden en verzenden (informatie opzoeken in Progress, Ocasys)
Hoorzittingen met studenten
Verzamelen gegevens voor kwaliteitsborging onderwijs","ProgressNET, ProgressWWW, Ocasys, GMail (Thunderbird zou verdwijnen...); GoogleDrive; Excel; Nestor",9,9,2,2,2,9,0,Geen voorkeur,"Deels thuis (betere concentratie, minder reistijd), deels op kantoor (meer interactie)"
5-1-2022 9:45:55,invoeren van studentverzoeken via Access; maken van besluitbrieven via Access; archiveren van besluiten in ProgressNET en Corsa,"ProgressNET, ProgressWWW, Thunderbird, Mobility Online, Ocasys, Access, Corsa",8,6,7,1,5,6,1,Geen voorkeur,Een combinatie van beide opties is ideaal.
6-1-2022 13:23:59,"1. Studenten inschrijven in ProgressNET, 2. Aanmeldingen studenten verwerken in Mobility Online, 3. Learning agreements tekenen (inkomend), 4. Beurzen berekenen uitgaande studenten, 5. Transcript of Records maken in ProgressNET","ProgressNET, ProgressWWW, Thunderbird, Mobility Online, Ocasys",9,7,8,6,7,8,6,Op kantoor,Makkelijker vragen stellen wanneer anderen er zijn.
6-1-2022 17:40:46,"Collegemodules aanmaken in Syllabus
Colleges aanmaken in Syllabus
Tentamens aanmaken en roosteren in Syllabus
Aantallen controleren
Mail beantwoorden.
Mail versturen
","ProgressWWW, Thunderbird, Ocasys, Syllabus Plus",7,7,6,0,7,7,0,Thuis,"Je kunt  rustig doorwerken, m.a.w. je wordt niet gestoord
Je doet meer wanneer je niet voortdurend gestoord wordt"
